Np = 10
yd yk ek
-0.931231 -0.939422 0.008191
-0.619442 -0.283279 -0.336163
-0.186313 0.714996 -0.901309
1.727713 1.366061 0.361652
1.114065 1.113523 0.000542
-0.084039 -0.073060 -0.010979
1.522568 1.521147 0.001421
1.658206 0.477952 1.180254
0.271242 0.106067 0.165175
0.717676 -0.100426 0.818102
0.249198 0.146903 0.102295
-1.475372 -1.549615 0.074243
-1.002327 -0.027539 -0.974788
-1.588569 -1.471070 -0.117499
-1.335166 -0.317112 -1.018054
-0.270516 -0.426601 0.156085
-1.037279 -0.611963 -0.425316
0.094098 -0.532671 0.626769
-1.283135 -0.263329 -1.019806
0.536362 -1.015003 1.551365
-0.674452 -0.117320 -0.557132
-0.992000 -0.419783 -0.572217
-0.835708 -0.688148 -0.147560
-1.383027 -0.353055 -1.029972
-0.780500 -0.446307 -0.334193
-1.288895 0.123809 -1.412704
0.806645 -0.403409 1.210054
-0.591838 0.176294 -0.768132
-1.302796 -0.730498 -0.572298
-0.695502 -0.982742 0.287240
-0.713971 -0.342512 -0.371459
-0.264956 -0.283811 0.018855
-0.060208 -0.340938 0.280730
-1.116318 -0.210168 -0.906150
-0.716950 -0.379519 -0.337431
0.852520 0.140026 0.712494
-0.949104 0.325970 -1.275074
-0.751505 -0.199012 -0.552493
2.093321 1.165248 0.928073
0.688285 0.667378 0.020907
1.069779 1.090384 -0.020605
-0.528090 0.624992 -1.153082
-0.893300 -0.995978 0.102678
-0.480626 -0.385686 -0.094940
-1.043832 0.329857 -1.373689
-0.906407 -0.940061 0.033654
0.274419 -0.341744 0.616163
0.357431 -0.266088 0.623519
-1.067266 0.111869 -1.179135
-1.005504 -0.159436 -0.846068
-1.449158 -1.405408 -0.043750
-1.417185 0.135177 -1.552361
-0.146595 0.084261 -0.230856
-0.786656 -0.495694 -0.290962
0.756997 -0.634073 1.391070
-1.931339 -0.314575 -1.616765
-0.980879 -0.567434 -0.413445
1.493574 0.559649 0.933925
-1.093877 -0.123360 -0.970517
-0.433759 -0.170967 -0.262792
0.168769 0.143401 0.025368
-1.213628 -0.576789 -0.636840
-1.220976 -0.763577 -0.457399
-1.187414 -0.630764 -0.556650
-0.434950 -0.232313 -0.202637
1.349198 -0.047436 1.396634
0.488898 0.077018 0.411880
-1.267049 -0.238539 -1.028509
-0.413899 -0.806242 0.392343
1.795433 1.212200 0.583233
-0.861327 0.657734 -1.519061
-0.815452 -0.486804 -0.328648
0.402114 0.435716 -0.033602
1.795433 0.869219 0.926214
0.718272 0.332468 0.385804
-0.084436 0.271638 -0.356074
0.966511 1.120569 -0.154058
0.119518 0.143762 -0.024244
-0.081060 0.046427 -0.127487
1.113867 0.142321 0.971546
-0.465930 0.364800 -0.830730
-0.482811 -0.314686 -0.168125
1.318615 -0.264629 1.583244
0.722839 0.128278 0.594561
0.434882 -0.033197 0.468079
-0.644464 -0.012484 -0.631980
